Kernel函数名称,kernel类型,kernel来源,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,调整加成,最终总分,优先级等级,使用的模型列表,共享算子/模块列表,Kernel源码路径,Kernel行号
parallel_attn_bwd_kernel_preprocess,vv,核心算子,2,5,3,3,1,3.05,0.0,3.05,P1,"ForgettingTransformer,NSA,PaTHAttention","Attn,forgetting_attn,nsa,path_attn",fla/ops/attn/parallel.py,149
parallel_nsa_bwd_kernel_dkv,cv/cube,核心算子,4,1,4,3,4,3.05,0.0,3.05,P1,NSA,NSA,fla/ops/nsa/parallel.py,417
fused_recurrent_hgrn_fwd_kernel,vv,核心算子,4,1,5,3,2,3.05,0.0,3.05,P1,HGRN,HGRN,fla/ops/hgrn/fused_recurrent.py,30
chunk_rwkv6_fwd_cumsum_kernel,cv/cube,核心算子,3,3,3,3,3,3.0,0.0,3.0,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,45
chunk_hgrn_fwd_kernel_o,vv,核心算子,4,1,5,3,1,2.95,0.0,2.95,P2,HGRN,HGRN,fla/ops/hgrn/chunk.py,94
parallel_nsa_kernel_topk,cv/cube,核心算子,4,1,3,3,5,2.95,0.0,2.95,P2,NSA,NSA,fla/ops/nsa/parallel.py,43
parallel_delta_rule_fwd_kernel,cv/cube,核心算子,2,2,5,3,5,2.95,0.0,2.95,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/parallel.py,152
fused_recurrent_hgrn_bwd_kernel,vv,核心算子,4,1,4,3,3,2.95,0.0,2.95,P2,HGRN,HGRN,fla/ops/hgrn/fused_recurrent.py,92
parallel_simple_gla_bwd_kernel,vv,核心算子,3,2,4,3,3,2.9,0.0,2.9,P2,"LinearAttention,RetNet",SimpleGLA,fla/ops/simple_gla/parallel.py,382
naive_attn_decoding_kernel,vv,核心算子,2,5,1,3,3,2.85,0.0,2.85,P2,"ForgettingTransformer,NSA,PaTHAttention","Attn,forgetting_attn,nsa,path_attn",fla/ops/attn/decoding.py,29
chunk_hgrn_bwd_kernel_h,vv,核心算子,4,1,4,3,2,2.85,0.0,2.85,P2,HGRN,HGRN,fla/ops/hgrn/chunk.py,132
chunk_hgrn_bwd_kernel_o,vv,核心算子,4,1,4,3,2,2.85,0.0,2.85,P2,HGRN,HGRN,fla/ops/hgrn/chunk.py,178
layer_norm_gated_bwd_kernel,vv,共享模块,3,2,3,5,3,2.8,0.0,2.8,P2,LightNet,"fused_norm_gate,layer:lightnet",fla/modules/fused_norm_gate.py,201
layer_norm_gated_fwd_kernel,vv,共享模块,3,2,3,5,3,2.8,0.0,2.8,P2,LightNet,"fused_norm_gate,layer:lightnet",fla/modules/fused_norm_gate.py,34
layer_norm_gated_fwd_kernel1,vv,共享模块,3,2,3,5,3,2.8,0.0,2.8,P2,LightNet,"fused_norm_gate,layer:lightnet",fla/modules/fused_norm_gate.py,120
layer_norm_fwd_kernel_quant,vv,共享模块,3,2,3,5,3,2.8,0.0,2.8,P2,BitNet,"bitnet,fused_bitlinear,layer:bitattn",fla/modules/fused_bitlinear.py,72
layer_norm_gated_bwd_kernel1,vv,共享模块,3,2,3,5,3,2.8,0.0,2.8,P2,LightNet,"fused_norm_gate,layer:lightnet",fla/modules/fused_norm_gate.py,329
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,3,1,4,2,5,2.75,0.0,2.75,P2,GSA,GSA,fla/ops/gsa/chunk.py,301
chunk_transform_qk_fwd_kernel,cv/cube,核心算子,2,2,5,3,3,2.75,0.0,2.75,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/parallel.py,27
fused_recurrent_delta_rule_fwd_kernel,vv,核心算子,2,2,5,3,3,2.75,0.0,2.75,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/fused_recurrent.py,21
chunk_gsa_fwd_k_kernel_inter,cv/cube,核心算子,3,1,4,3,4,2.7,0.0,2.7,P2,GSA,GSA,fla/ops/gsa/chunk.py,38
chunk_gsa_fwd_k_kernel_intra,cv/cube,核心算子,3,1,4,3,4,2.7,0.0,2.7,P2,GSA,GSA,fla/ops/gsa/chunk.py,112
chunk_gsa_bwd_k_kernel_intra_dvg,cv/cube,核心算子,3,1,4,3,4,2.7,0.0,2.7,P2,GSA,GSA,fla/ops/gsa/chunk.py,427
chunk_gsa_bwd_k_kernel_dA,cv/cube,核心算子,3,1,4,3,4,2.7,0.0,2.7,P2,GSA,GSA,fla/ops/gsa/chunk.py,200
parallel_path_fwd_kernel,cv/cube,核心算子,2,1,5,3,5,2.65,0.0,2.65,P2,PaTHAttention,PathAttn,fla/ops/path_attn/parallel_path_fwd.py,19
recompute_w_u_fwd_kernel,cv/cube,核心算子,2,2,5,1,3,2.65,0.0,2.65,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/wy_fast.py,32
mean_pooling_bwd_kernel,vv,共享模块,4,1,3,3,2,2.65,0.0,2.65,P2,NSA,nsa,fla/ops/utils/pooling.py,75
chunkwise_fwd_kernel,cv/cube,核心算子,2,1,5,3,5,2.65,0.0,2.65,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,41
layer_norm_bwd_kernel,vv,共享模块,3,2,3,2,3,2.65,0.0,2.65,P2,BitNet,"bitnet,fused_bitlinear,layer:bitattn",fla/modules/fused_bitlinear.py,207
_bitonic_merge,vv,核心算子,4,1,3,3,2,2.65,0.0,2.65,P2,NSA,NSA,fla/ops/nsa/utils.py,55
_compare_and_swap,vv,核心算子,4,1,3,3,2,2.65,0.0,2.65,P2,NSA,NSA,fla/ops/nsa/utils.py,20
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,2,2,4,1,5,2.65,0.0,2.65,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/wy_fast.py,94
chunk_gated_delta_product_fwd_kernel_h_blockdim64,cv/cube,核心算子,2,1,5,3,5,2.65,0.0,2.65,P2,GatedDeltaProduct,GatedDeltaProduct,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,37
chunk_mesa_net_fwd_kernel_h,cv/cube,核心算子,2,1,5,3,5,2.65,0.0,2.65,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_h_fwd.py,31
mean_pooling_fwd_kernel,vv,共享模块,4,1,3,3,2,2.65,0.0,2.65,P2,NSA,nsa,fla/ops/utils/pooling.py,28
merge_16x16_to_32x32_inverse_kernel,cv/cube,共享模块,2,2,3,3,5,2.55,0.0,2.55,P2,"DeltaNet,PaTHAttention","delta_rule,path_attn",fla/ops/utils/solve_tril.py,104
chunk_fwd_kernel_o,cv/cube,核心算子,2,1,5,1,5,2.55,0.0,2.55,P2,GatedDeltaProduct,GatedDeltaProduct,fla/ops/gated_delta_product/chunk_deltaproduct_o.py,35
transform_q_fwd_kernel,cv/cube,核心算子,2,1,5,3,4,2.55,0.0,2.55,P2,PaTHAttention,PathAttn,fla/ops/path_attn/transform_q.py,18
argsort,vv,核心算子,4,1,3,3,1,2.55,0.0,2.55,P2,NSA,NSA,fla/ops/nsa/utils.py,81
chunk_cumprod_householder_fwd_kernel,cv/cube,核心算子,2,1,5,3,4,2.55,0.0,2.55,P2,PaTHAttention,PathAttn,fla/ops/path_attn/cumprod_householder_fwd.py,19
parallel_nsa_kernel_mask,vv,核心算子,4,1,3,3,1,2.55,0.0,2.55,P2,NSA,NSA,fla/ops/nsa/parallel.py,271
merge_16x16_to_64x64_inverse_kernel,cv/cube,共享模块,2,2,3,3,5,2.55,0.0,2.55,P2,"DeltaNet,PaTHAttention","delta_rule,path_attn",fla/ops/utils/solve_tril.py,193
chunk_scaled_dot_comba_pkt_fwd_kernel,cv/cube,核心算子,2,1,5,3,4,2.55,0.0,2.55,P2,Comba,Comba,fla/ops/comba/wy_fast.py,31
fused_recurrent_delta_rule_bwd_kernel,vv,核心算子,2,2,4,3,3,2.55,0.0,2.55,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/fused_recurrent.py,108
chunk_gated_delta_product_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,GatedDeltaProduct,GatedDeltaProduct,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,216
recompute_w_u_fwd_kernel,cv/cube,核心算子,2,1,5,1,4,2.45,0.0,2.45,P2,Comba,Comba,fla/ops/comba/wy_fast.py,300
mesa_net_decoding_one_step_kernel,vv,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/decoding_one_step.py,16
chunk_transform_qk_bwd_kernel_prepare,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/intra_chunk_preprocess_bwd_prepare.py,19
parallel_path_bwd_intra_chunk_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/parallel_path_bwd_intra.py,19
fused_recurrent_comba_fwd_kernel,vv,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,Comba,Comba,fla/ops/comba/fused_recurrent.py,21
parallel_path_bwd_dq_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/parallel_path_bwd_inter_dqh.py,21
fused_recurrent_rwkv7_fwd_kernel,vv,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_recurrent.py,35
chunkwise_bwd_kernel_diag,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,1351
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_cg_solver_bwd.py,36
parallel_path_bwd_dkv_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/parallel_path_bwd_inter_dkv.py,19
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_cg_solver_fwd.py,36
chunk_mesa_net_h_kk_bwd_intra_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_h_kk_intra_bwd.py,19
chunkwise_bwd_kernel_hdqgl,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,1047
chunk_mesa_net_h_kv_bwd_intra_kernel_dkv,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,31
chunk_cumprod_householder_bwd_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/cumprod_householder_bwd.py,19
parallel_deltaformer_bwd_kernel_qk,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,DeltaFormer,Deltaformer,fla/ops/deltaformer/parallel.py,458
chunk_mesa_net_h_kv_bwd_intra_kernel_dq,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,150
chunk_mesa_net_h_kv_bwd_intra_kernel,cv/cube,核心算子,2,1,4,3,5,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_h_kv_intra_bwd.py,32
parallel_path_fwd_kernel_prepare_k_cache,cv/cube,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,PaTHAttention,PathAttn,fla/ops/path_attn/prepare_k_cache.py,18
chunk_update_once,cv/cube,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_cg_solver_fwd.py,16
parallel_deltaformer_fwd_kernel,cv/cube,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,DeltaFormer,Deltaformer,fla/ops/deltaformer/parallel.py,135
chunk_update_once,cv/cube,核心算子,2,1,5,3,3,2.45,0.0,2.45,P2,MesaNet,MesaNet,fla/ops/mesa_net/chunk_cg_solver_bwd.py,16
causal_conv1d_update_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"LogLinearMamba2,Mamba,Mamba2,Samba",conv,fla/modules/conv/triton/kernels.py,325
causal_conv1d_bwd_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"LogLinearMamba2,Mamba,Mamba2,Samba",conv,fla/modules/conv/triton/kernels.py,152
chunkwise_bwd_kernel_dhg,cv/cube,核心算子,2,1,4,3,4,2.35,0.0,2.35,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,930
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,2,1,4,1,5,2.35,0.0,2.35,P2,Comba,Comba,fla/ops/comba/wy_fast.py,164
gate_output_correction_fwd_kernel,vv,核心算子,2,1,5,3,2,2.35,0.0,2.35,P2,RWKV7,RWKV7,fla/ops/rwkv7/gate_output_correction.py,73
solve_tril_16x16_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"DeltaNet,PaTHAttention","delta_rule,path_attn",fla/ops/utils/solve_tril.py,36
token_shift_bwd_kernel_short,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"RWKV6,RWKV7","layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",fla/modules/token_shift.py,233
fused_addcmul_fwd_kernel,vv,核心算子,2,1,5,3,2,2.35,0.0,2.35,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_addcmul.py,53
token_shift_fwd_kernel_long,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"RWKV6,RWKV7","layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",fla/modules/token_shift.py,159
chunk_fwd_kernel_h,cv/cube,共享模块,2,2,3,1,4,2.35,0.0,2.35,P2,"GLA,GSA,HGRN2,LightNet,MesaNet,RWKV6,Rodimus","gla,gsa,mesa_net,rwkv6,simple_gla",fla/ops/common/chunk_h.py,35
chunkwise_bwd_kernel_dv,cv/cube,核心算子,2,1,4,3,4,2.35,0.0,2.35,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,1285
chunkwise_bwd_kernel_dkg,cv/cube,核心算子,2,1,4,3,4,2.35,0.0,2.35,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,1195
k_update_fwd_kernel_short,vv,核心算子,2,1,5,3,2,2.35,0.0,2.35,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_k_update.py,32
token_shift_fwd_kernel_short,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"RWKV6,RWKV7","layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",fla/modules/token_shift.py,67
chunk_bwd_kernel_dh,cv/cube,共享模块,2,2,3,1,4,2.35,0.0,2.35,P2,"GLA,GSA,HGRN2,LightNet,MesaNet,RWKV6,Rodimus","gla,gsa,mesa_net,rwkv6,simple_gla",fla/ops/common/chunk_h.py,162
compute_dh0_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"LogLinearMamba2,Mamba,Mamba2,Samba",conv,fla/modules/conv/triton/kernels.py,410
token_shift_bwd_kernel_long,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"RWKV6,RWKV7","layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",fla/modules/token_shift.py,311
rwkv_seq_mix_kernel,vv,核心算子,2,1,5,3,2,2.35,0.0,2.35,P2,RWKV7,RWKV7,fla/ops/rwkv7/channel_mixing.py,38
causal_conv1d_states_fwd_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"LogLinearMamba2,Mamba,Mamba2,Samba",conv,fla/modules/conv/triton/kernels.py,487
k_update_fwd_kernel_long,vv,核心算子,2,1,5,3,2,2.35,0.0,2.35,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_k_update.py,75
causal_conv1d_fwd_kernel,vv,共享模块,2,2,3,3,3,2.35,0.0,2.35,P2,"LogLinearMamba2,Mamba,Mamba2,Samba",conv,fla/modules/conv/triton/kernels.py,35
softmax_bwd_kernel,vv,共享模块,3,1,3,5,1,2.3,0.0,2.3,P2,GSA,gsa,fla/ops/utils/softmax.py,53
layer_norm_fwd_kernel,vv,共享模块,2,2,3,2,3,2.3,0.0,2.3,P2,"LogLinearMamba2,Mamba2,RWKV6,RWKV7,Rodimus","layer:log_linear_mamba2,layer:mamba2,layer:rodimus,layernorm_gated",fla/modules/layernorm_gated.py,54
chunk_abc_fwd_kernel_K,cv/cube,核心算子,1,1,5,5,4,2.3,0.0,2.3,P2,ABC,ABC,fla/ops/abc/chunk.py,132
softmax_fwd_kernel,vv,共享模块,3,1,3,5,1,2.3,0.0,2.3,P2,GSA,gsa,fla/ops/utils/softmax.py,26
chunk_abc_fwd_kernel_h,cv/cube,核心算子,1,1,5,5,4,2.3,0.0,2.3,P2,ABC,ABC,fla/ops/abc/chunk.py,18
layer_norm_bwd_kernel,vv,共享模块,2,2,3,2,3,2.3,0.0,2.3,P2,"LogLinearMamba2,Mamba2,RWKV6,RWKV7,Rodimus","layer:log_linear_mamba2,layer:mamba2,layer:rodimus,layernorm_gated",fla/modules/layernorm_gated.py,186
chunk_abc_fwd_kernel_V,cv/cube,核心算子,1,1,5,5,4,2.3,0.0,2.3,P2,ABC,ABC,fla/ops/abc/chunk.py,248
chunk_local_cumsum_scalar_kernel,vv,共享模块,2,2,3,3,2,2.25,0.0,2.25,P2,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","attn,gla,gsa,path_attn,simple_gla",fla/ops/utils/cumsum.py,30
fused_recurrent_fwd_kernel,vv,共享模块,2,2,3,1,3,2.25,0.0,2.25,P2,"GLA,GSA,HGRN2,LightNet,Rodimus","gla,gsa,simple_gla",fla/ops/common/fused_recurrent.py,29
intra_chunk_preprocess_bwd_kernel,cv/cube,核心算子,2,1,3,3,5,2.25,0.0,2.25,P2,PaTHAttention,PathAttn,fla/ops/path_attn/intra_chunk_preprocess_bwd.py,20
parallel_deltaformer_bwd_kernel_u,cv/cube,核心算子,2,1,4,3,3,2.25,0.0,2.25,P2,DeltaFormer,Deltaformer,fla/ops/deltaformer/parallel.py,276
intra_chunk_preprocess_fwd_kernel,cv/cube,核心算子,2,1,3,3,5,2.25,0.0,2.25,P2,PaTHAttention,PathAttn,fla/ops/path_attn/intra_chunk_preprocess_fwd.py,19
chunk_global_cumsum_scalar_kernel,vv,共享模块,2,2,3,3,2,2.25,0.0,2.25,P2,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","attn,gla,gsa,path_attn,simple_gla",fla/ops/utils/cumsum.py,143
chunk_local_cumsum_vector_kernel,vv,共享模块,2,2,3,3,2,2.25,0.0,2.25,P2,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","attn,gla,gsa,path_attn,simple_gla",fla/ops/utils/cumsum.py,85
rwkv_channel_mixing_pow_and_relu,vv,核心算子,2,1,5,3,1,2.25,0.0,2.25,P2,RWKV7,RWKV7,fla/ops/rwkv7/channel_mixing.py,83
gate_output_correction_bwd_kernel,vv,核心算子,2,1,4,3,3,2.25,0.0,2.25,P2,RWKV7,RWKV7,fla/ops/rwkv7/gate_output_correction.py,125
fused_recurrent_bwd_kernel,vv,共享模块,2,2,3,1,3,2.25,0.0,2.25,P2,"GLA,GSA,HGRN2,LightNet,Rodimus","gla,gsa,simple_gla",fla/ops/common/fused_recurrent.py,142
chunk_global_cumsum_vector_kernel,vv,共享模块,2,2,3,3,2,2.25,0.0,2.25,P2,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","attn,gla,gsa,path_attn,simple_gla",fla/ops/utils/cumsum.py,203
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,共享模块,2,2,3,1,3,2.25,0.0,2.25,P2,"DeltaNet,GatedDeltaProduct,PaTHAttention","delta_rule,gated_delta_product,path_attn",fla/ops/common/chunk_scaled_dot_kkt.py,31
parallel_deltaformer_bwd_kernel_row_sum,cv/cube,核心算子,2,1,4,3,3,2.25,0.0,2.25,P2,DeltaFormer,Deltaformer,fla/ops/deltaformer/parallel.py,363
chunk_abc_bwd_kernel_intra_V,cv/cube,核心算子,1,1,4,5,5,2.2,0.0,2.2,P2,ABC,ABC,fla/ops/abc/chunk.py,453
l2norm_fwd_kernel1,vv,共享模块,2,2,3,4,1,2.2,0.0,2.2,P2,"MesaNet,PaTHAttention,RWKV7","l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",fla/modules/l2norm.py,24
chunk_abc_bwd_kernel_V,cv/cube,核心算子,1,1,4,5,5,2.2,0.0,2.2,P2,ABC,ABC,fla/ops/abc/chunk.py,359
chunk_abc_bwd_kernel_K,cv/cube,核心算子,1,1,4,5,5,2.2,0.0,2.2,P2,ABC,ABC,fla/ops/abc/chunk.py,604
l2norm_bwd_kernel1,vv,共享模块,2,2,3,4,1,2.2,0.0,2.2,P2,"MesaNet,PaTHAttention,RWKV7","l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",fla/modules/l2norm.py,52
l2norm_bwd_kernel,vv,共享模块,2,2,3,4,1,2.2,0.0,2.2,P2,"MesaNet,PaTHAttention,RWKV7","l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",fla/modules/l2norm.py,111
l2norm_fwd_kernel,vv,共享模块,2,2,3,4,1,2.2,0.0,2.2,P2,"MesaNet,PaTHAttention,RWKV7","l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",fla/modules/l2norm.py,81
fused_recurrent_gsa_inference_kernel,vv,核心算子,3,1,2,3,3,2.2,0.0,2.2,P2,GSA,GSA,fla/ops/gsa/fused_recurrent.py,17
k_update_bwd_kernel_long,vv,核心算子,2,1,4,3,2,2.15,0.0,2.15,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_k_update.py,174
k_update_bwd_kernel_short,vv,核心算子,2,1,4,3,2,2.15,0.0,2.15,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_k_update.py,122
addcmul_bwd_kernel1,vv,核心算子,2,1,4,3,2,2.15,0.0,2.15,P2,RWKV7,RWKV7,fla/ops/rwkv7/fused_addcmul.py,113
save_intra_chunk_attn,vv,核心算子,2,2,3,3,1,2.15,0.0,2.15,P2,"DeltaNet,GatedDeltaProduct",DeltaRule,fla/ops/delta_rule/parallel.py,135
rwkv_mix_bwd_kenel,vv,核心算子,2,1,4,3,2,2.15,0.0,2.15,P2,RWKV7,RWKV7,fla/ops/rwkv7/channel_mixing.py,205
chunk_abc_bwd_kernel_intra_K,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,546
chunk_abc_fwd_kernel_intra_K,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,82
chunk_abc_bwd_kernel_rcum_intra,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,784
chunk_abc_fwd_kernel_intra_V,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,190
chunk_abc_bwd_kernel_intra_KV,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,694
chunk_abc_bwd_kernel_dh,cv/cube,核心算子,1,1,4,5,4,2.1,0.0,2.1,P2,ABC,ABC,fla/ops/abc/chunk.py,300
relu_square_bwd_kernel,vv,核心算子,2,1,4,3,1,2.05,0.0,2.05,P2,RWKV7,RWKV7,fla/ops/rwkv7/channel_mixing.py,173
copy_last_chunk_kernel,vv,核心算子,2,1,3,3,3,2.05,0.0,2.05,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,828
parallel_rebased_fwd_kernel,cv/cube,核心算子,0,1,5,5,5,2.05,0.0,2.05,P2,,Rebased,fla/ops/rebased/parallel.py,18
copy_input_kernel,vv,核心算子,2,1,3,3,3,2.05,0.0,2.05,P2,LogLinearMamba2,LogLinearAttn,fla/ops/log_linear_attn/chunk.py,677
fused_chunk_based_fwd_kernel,cv/cube,核心算子,0,1,5,4,5,2.0,0.0,2.0,P2,,Based,fla/ops/based/fused_chunk.py,15
parallel_based_fwd_kernel,cv/cube,核心算子,0,1,5,4,5,2.0,0.0,2.0,P2,,Based,fla/ops/based/parallel.py,18
chunk_ttt_linear_fwd_kernel_o,cv/cube,核心算子,0,1,5,3,5,1.95,0.0,1.95,P3,,TTT,fla/ops/ttt/chunk.py,139
chunk_comba_cumsum_scalar_fwd_kernel,vv,核心算子,2,1,3,3,2,1.95,0.0,1.95,P3,Comba,Comba,fla/ops/comba/utils.py,28
chunk_oja_fwd_kernel_h_blockdim64,cv/cube,核心算子,0,1,5,3,5,1.95,0.0,1.95,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_h.py,37
fused_chunk_ttt_linear_fwd_kernel,cv/cube,核心算子,0,1,5,3,5,1.95,0.0,1.95,P3,,TTT,fla/ops/ttt/fused_chunk.py,35
chunk_ttt_linear_fwd_kernel_h,cv/cube,核心算子,0,1,5,3,5,1.95,0.0,1.95,P3,,TTT,fla/ops/ttt/chunk.py,34
chunk_generalized_iplr_delta_rule_fwd_kernel_o,cv/cube,核心算子,0,1,5,3,5,1.95,0.0,1.95,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/chunk.py,127
chunk_comba_cumsum_scalar_bwd_kernel,vv,核心算子,2,1,3,3,2,1.95,0.0,1.95,P3,Comba,Comba,fla/ops/comba/utils.py,107
chunk_abc_bwd_kernel_rcum_inter,vv,核心算子,1,1,4,5,2,1.9,0.0,1.9,P3,ABC,ABC,fla/ops/abc/chunk.py,748
chunk_generalized_iplr_delta_rule_fwd_kernel_h,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/chunk.py,42
_parallel_rebased_bwd_dq,cv/cube,核心算子,0,1,4,5,5,1.85,0.0,1.85,P3,,Rebased,fla/ops/rebased/parallel.py,103
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/wy_fast.py,84
chunk_dplr_fwd_kernel_o,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_o_fwd.py,35
wu_fwd_kernel,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,155
_parallel_rebased_bwd_dkv,cv/cube,核心算子,0,1,4,5,5,1.85,0.0,1.85,P3,,Rebased,fla/ops/rebased/parallel.py,187
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,75
