Kernel函数名称,kernel类型,kernel来源,函数行数,tl.dot调用次数,技术复杂度级别,技术复杂度得分,判定依据,Kernel源码路径,Kernel行号
gate_output_correction_bwd_kernel,vv,核心算子,37,0,中,3,vv+37行,fla/ops/rwkv7/gate_output_correction.py,125
fused_chunk_ttt_linear_bwd_kernel_dh,cv/cube,核心算子,103,12,极高,5,cv/cube+103行+12个tl.dot,fla/ops/ttt/fused_chunk.py,278
chunk_bwd_kernel_dv_local,cv/cube,共享模块,46,2,高,4,cv/cube+46行,fla/ops/common/chunk_o.py,460
chunk_ttt_linear_fwd_kernel_h,cv/cube,核心算子,56,2,极高,5,cv/cube+56行+2个tl.dot,fla/ops/ttt/chunk.py,34
parallel_deltaformer_bwd_kernel_qk,cv/cube,核心算子,178,10,极高,5,cv/cube+178行+10个tl.dot,fla/ops/deltaformer/parallel.py,458
chunk_ttt_linear_bwd_kernel_dv_local,cv/cube,核心算子,35,3,高,4,cv/cube+35行,fla/ops/ttt/chunk.py,334
chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,55,2,极高,5,cv/cube+55行+2个tl.dot,fla/ops/ttt/chunk.py,232
_compare_and_swap,vv,核心算子,24,0,低,2,vv+24行,fla/ops/nsa/utils.py,20
fused_chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,68,5,极高,5,cv/cube+68行+5个tl.dot,fla/ops/ttt/fused_chunk.py,158
relu,vv,共享模块,2,0,极低,1,vv+2行,fla/ops/utils/matmul.py,175
chunk_rwkv6_bwd_kernel_inter,cv/cube,核心算子,72,2,极高,5,cv/cube+72行+2个tl.dot,fla/ops/rwkv6/chunk.py,633
token_shift_bwd_kernel_long,vv,共享模块,31,0,中,3,vv+31行,fla/modules/token_shift.py,311
chunk_mesa_net_h_kv_bwd_intra_kernel_dq,cv/cube,核心算子,52,3,极高,5,cv/cube+52行+3个tl.dot,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,150
rwkv_mix_bwd_kenel,vv,核心算子,24,0,低,2,vv+24行,fla/ops/rwkv7/channel_mixing.py,205
cross_entropy_kernel,vv,共享模块,114,0,中,3,vv+114行,fla/modules/fused_linear_cross_entropy.py,94
chunk_mesa_net_h_kv_bwd_intra_kernel,cv/cube,核心算子,81,8,极高,5,cv/cube+81行+8个tl.dot,fla/ops/mesa_net/chunk_h_kv_intra_bwd.py,32
chunk_bwd_kernel_dqke,cv/cube,核心算子,77,7,极高,5,cv/cube+77行+7个tl.dot,fla/ops/ttt/chunk.py,567
parallel_path_fwd_kernel_prepare_k_cache,cv/cube,核心算子,26,2,中,3,cv/cube+26行,fla/ops/path_attn/prepare_k_cache.py,18
chunk_oja_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,150,12,极高,5,cv/cube+150行+12个tl.dot,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_gla_bwd_kernel_intra,cv/cube,核心算子,93,2,极高,5,cv/cube+93行+2个tl.dot,fla/ops/gla/chunk.py,398
chunk_gla_fwd_kernel_o,cv/cube,核心算子,47,3,高,4,cv/cube+47行,fla/ops/gla/chunk.py,312
layer_norm_bwd_kernel,vv,共享模块,81,0,中,3,vv+81行,fla/modules/layernorm_gated.py,186
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,55,8,极高,5,cv/cube+55行+8个tl.dot,fla/ops/delta_rule/wy_fast.py,94
chunk_gla_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,39,0,中,3,vv+39行,fla/ops/gla/chunk.py,183
logsumexp_fwd_kernel,vv,共享模块,9,0,极低,1,vv+9行,fla/ops/utils/logsumexp.py,27
exp,vv,共享模块,8,0,极低,1,vv+8行,fla/ops/utils/op.py,17
_parallel_based_bwd_dq,cv/cube,核心算子,55,6,极高,5,cv/cube+55行+6个tl.dot,fla/ops/based/parallel.py,104
merge_16x16_to_64x64_inverse_kernel,cv/cube,共享模块,132,16,极高,5,cv/cube+132行+16个tl.dot,fla/ops/utils/solve_tril.py,193
gdn_gate_fwd_kernel,vv,核心算子,9,0,极低,1,vv+9行,fla/ops/gated_delta_rule/gate.py,235
chunk_fwd_kernel_h_split,cv/cube,共享模块,65,1,高,4,cv/cube+65行,fla/ops/common/chunk_h_split.py,32
chunk_gated_delta_product_fwd_kernel_h_blockdim64,cv/cube,核心算子,128,8,极高,5,cv/cube+128行+8个tl.dot,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,37
chunk_scaled_dot_kkt_bwd_kernel_gk,cv/cube,核心算子,119,2,极高,5,cv/cube+119行+2个tl.dot,fla/ops/gated_oja_rule/chunk_kkt.py,230
chunk_mesa_net_fwd_kernel_h,cv/cube,核心算子,54,2,极高,5,cv/cube+54行+2个tl.dot,fla/ops/mesa_net/chunk_h_fwd.py,31
rwkv_seq_mix_kernel,vv,核心算子,25,0,低,2,vv+25行,fla/ops/rwkv7/channel_mixing.py,38
fused_recurrent_bwd_kernel,vv,共享模块,140,0,中,3,vv+140行,fla/ops/common/fused_recurrent.py,142
cross_entropy_fwd_kernel,vv,共享模块,47,0,中,3,vv+47行,fla/modules/fused_cross_entropy.py,30
layer_norm_gated_bwd_kernel1,vv,共享模块,79,0,中,3,vv+79行,fla/modules/fused_norm_gate.py,329
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,56,6,极高,5,cv/cube+56行+6个tl.dot,fla/ops/gated_oja_rule/wy_fast.py,108
copy_input_kernel,vv,核心算子,108,0,中,3,vv+108行,fla/ops/log_linear_attn/chunk.py,677
packunpack_sequence_kernel,vv,共享模块,20,0,低,2,vv+20行,fla/ops/utils/pack.py,27
gdn_gate_chunk_cumsum_scalar_kernel,vv,核心算子,22,0,低,2,vv+22行,fla/ops/gated_delta_rule/gate.py,60
chunk_hgrn_bwd_kernel_h,vv,核心算子,27,0,低,2,vv+27行,fla/ops/hgrn/chunk.py,132
layer_norm_fwd_kernel1,vv,共享模块,35,0,中,3,vv+35行,fla/modules/layernorm.py,267
chunk_generalized_iplr_delta_rule_fwd_kernel_o,cv/cube,核心算子,54,5,极高,5,cv/cube+54行+5个tl.dot,fla/ops/generalized_delta_rule/iplr/chunk.py,127
fused_recurrent_hgrn_bwd_kernel,vv,核心算子,40,0,中,3,vv+40行,fla/ops/hgrn/fused_recurrent.py,92
chunk_rwkv6_bwd_kernel_dh,cv/cube,核心算子,37,1,高,4,cv/cube+37行,fla/ops/rwkv6/chunk.py,411
parallel_nsa_bwd_kernel_dkv,cv/cube,核心算子,48,4,高,4,cv/cube+48行,fla/ops/nsa/parallel.py,417
swiglu_fwdbwd_kernel,vv,共享模块,23,0,低,2,vv+23行,fla/modules/activations.py,589
chunk_comba_cumsum_scalar_bwd_kernel,vv,核心算子,23,0,低,2,vv+23行,fla/ops/comba/utils.py,107
causal_conv1d_states_fwd_kernel,vv,共享模块,33,0,中,3,vv+33行,fla/modules/conv/triton/kernels.py,487
chunk_hgrn_bwd_kernel_o,vv,核心算子,21,0,低,2,vv+21行,fla/ops/hgrn/chunk.py,178
chunk_kda_bwd_kernel_dAv,cv/cube,核心算子,38,2,高,4,cv/cube+38行,fla/ops/kda/chunk_bwd.py,47
chunk_oja_fwd_intra,cv/cube,核心算子,52,1,高,4,cv/cube+52行,fla/ops/gated_oja_rule/chunk_o.py,107
parallel_simple_gla_fwd_kernel,cv/cube,核心算子,84,4,极高,5,cv/cube+84行+4个tl.dot,fla/ops/simple_gla/parallel.py,47
chunk_global_cumsum_vector_kernel,vv,共享模块,27,0,低,2,vv+27行,fla/ops/utils/cumsum.py,203
grpo_bwd_kernel,vv,共享模块,38,0,中,3,vv+38行,fla/modules/grpo.py,155
chunk_abc_fwd_kernel_V,cv/cube,核心算子,31,2,高,4,cv/cube+31行,fla/ops/abc/chunk.py,248
fused_recurrent_delta_rule_fwd_kernel,vv,核心算子,50,0,中,3,vv+50行,fla/ops/delta_rule/fused_recurrent.py,21
chunk_gsa_bwd_k_kernel_intra_dvg,cv/cube,核心算子,62,1,高,4,cv/cube+62行,fla/ops/gsa/chunk.py,427
log2,vv,共享模块,2,0,极低,1,vv+2行,fla/ops/utils/op.py,23
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,48,2,高,4,cv/cube+48行,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,75
fused_recurrent_kda_fwd_kernel,vv,核心算子,133,0,中,3,vv+133行,fla/ops/kda/fused_recurrent.py,30
chunk_fwd_kernel_h_reduction,vv,共享模块,38,0,中,3,vv+38行,fla/ops/common/chunk_h_parallel.py,153
grpo_fwd_kernel,vv,共享模块,41,0,中,3,vv+41行,fla/modules/grpo.py,79
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,共享模块,27,1,中,3,cv/cube+27行,fla/ops/common/chunk_scaled_dot_kkt.py,31
gdn_gate_bwd_kernel,vv,核心算子,18,0,低,2,vv+18行,fla/ops/gated_delta_rule/gate.py,116
chunk_dplr_fwd_kernel_h,cv/cube,核心算子,45,3,高,4,cv/cube+45行,fla/ops/generalized_delta_rule/dplr/chunk_h_fwd.py,34
parallel_deltaformer_bwd_kernel_row_sum,cv/cube,核心算子,0,0,中,3,cv/cube+0行,fla/ops/deltaformer/parallel.py,363
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,vv,核心算子,30,0,低,2,vv+30行,fla/ops/gated_oja_rule/chunk_kkt.py,166
chunk_gla_bwd_kernel_inter,cv/cube,核心算子,74,3,极高,5,cv/cube+74行+3个tl.dot,fla/ops/gla/chunk.py,664
chunk_update_once,cv/cube,核心算子,5,3,中,3,cv/cube+5行,fla/ops/mesa_net/chunk_cg_solver_fwd.py,16
parallel_deltaformer_fwd_kernel,cv/cube,核心算子,0,0,中,3,cv/cube+0行,fla/ops/deltaformer/parallel.py,135
parallel_rebased_bwd_kernel,vv,核心算子,53,0,中,3,vv+53行,fla/ops/rebased/parallel.py,273
softplus2_triton,vv,共享模块,1,0,极低,1,vv+1行,fla/ops/utils/softplus.py,105
chunk_dplr_fwd_A_kernel_intra_tensorcore,cv/cube,核心算子,99,4,极高,5,cv/cube+99行+4个tl.dot,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,159
chunk_kda_fwd_kernel_inter_solve_fused,cv/cube,核心算子,259,28,极高,5,cv/cube+259行+28个tl.dot,fla/ops/kda/chunk_intra.py,40
chunk_dplr_fwd_A_kernel_intra_sub_intra,vv,核心算子,77,0,中,3,vv+77行,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,32
logsigmoid_fwd_kernel,vv,共享模块,12,0,极低,1,vv+12行,fla/modules/activations.py,195
chunk_bwd_kernel_dh_reduction,vv,共享模块,38,0,中,3,vv+38行,fla/ops/common/chunk_h_split.py,358
fused_recurrent_gsa_inference_kernel,vv,核心算子,41,0,中,3,vv+41行,fla/ops/gsa/fused_recurrent.py,17
chunk_gsa_bwd_k_kernel_dA,cv/cube,核心算子,60,1,高,4,cv/cube+60行,fla/ops/gsa/chunk.py,200
matmul_kernel,cv/cube,共享模块,62,1,高,4,cv/cube+62行,fla/ops/utils/matmul.py,52
gather,vv,共享模块,6,0,极低,1,vv+6行,fla/ops/utils/op.py,41
chunk_scaled_dot_comba_pkt_fwd_kernel,cv/cube,核心算子,33,1,高,4,cv/cube+33行,fla/ops/comba/wy_fast.py,31
chunk_dplr_bwd_dgk_kernel,cv/cube,核心算子,31,1,高,4,cv/cube+31行,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,407
mean_pooling_fwd_kernel,vv,共享模块,19,0,低,2,vv+19行,fla/ops/utils/pooling.py,28
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,cv/cube,共享模块,244,16,极高,5,cv/cube+244行+16个tl.dot,fla/ops/common/chunk_delta_h.py,39
parallel_nsa_compression_bwd_kernel_dkv,cv/cube,核心算子,51,4,极高,5,cv/cube+51行+4个tl.dot,fla/ops/nsa/compression.py,236
exp2,vv,共享模块,6,0,极低,1,vv+6行,fla/ops/utils/op.py,19
fused_recurrent_rwkv6_bwd_kernel_dw,cv/cube,核心算子,29,1,中,3,cv/cube+29行,fla/ops/rwkv6/fused_recurrent.py,306
k_update_fwd_kernel_long,vv,核心算子,23,0,低,2,vv+23行,fla/ops/rwkv7/fused_k_update.py,75
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,39,0,中,3,vv+39行,fla/ops/rwkv6/chunk.py,277
chunk_update_once,cv/cube,核心算子,5,3,中,3,cv/cube+5行,fla/ops/mesa_net/chunk_cg_solver_bwd.py,16
fused_recurrent_delta_rule_bwd_kernel,vv,核心算子,100,0,中,3,vv+100行,fla/ops/delta_rule/fused_recurrent.py,108
parallel_attn_bwd_kernel_dq,cv/cube,核心算子,88,6,极高,5,cv/cube+88行+6个tl.dot,fla/ops/attn/parallel.py,172
fused_recurrent_hgrn_fwd_kernel,vv,核心算子,26,0,低,2,vv+26行,fla/ops/hgrn/fused_recurrent.py,30
layer_norm_bwd_kernel1,vv,共享模块,50,0,中,3,vv+50行,fla/modules/layernorm.py,457
fused_chunk_bwd_kernel,cv/cube,共享模块,167,27,极高,5,cv/cube+167行+27个tl.dot,fla/ops/common/fused_chunk.py,178
chunk_kda_fwd_kernel_intra_token_parallel,vv,核心算子,60,0,中,3,vv+60行,fla/ops/kda/chunk_intra_token_parallel.py,30
causal_conv1d_fwd_kernel,vv,共享模块,60,0,中,3,vv+60行,fla/modules/conv/triton/kernels.py,35
